Disease,Description,Symptoms ,Precautions,Medications,Diets
Liver cancer,"Cancer that starts in the liver, commonly hepatocellular carcinoma.","Jaundice, abdominal pain, unexplained weight loss, fatigue.","Regular screening for hepatitis B/C, avoid alcohol, vaccinations.","Surgery, liver transplant, chemotherapy, targeted therapy.","High-protein, high-calorie diet to maintain weight, avoid alcohol, processed foods, and high-sodium foods, include easily digestible, nutrient-dense foods."
Liver cirrhosis,"Scarring of the liver due to long-term damage, often caused by alcohol abuse or hepatitis.","Fatigue, jaundice, swelling in legs/abdomen, easy bruising.","Avoid alcohol, maintain a healthy weight, get vaccinated for hepatitis B/C.","Diuretics, beta-blockers, liver transplant in severe cases.","Low-sodium, low-fat diet, avoid alcohol and processed foods, include lean proteins, fruits, vegetables, whole grains, and small, frequent meals."
Lung cancer,"Cancer that starts in the lungs, often linked to smoking.","Persistent cough, chest pain, shortness of breath, weight loss, coughing up blood.","Avoid smoking, limit exposure to carcinogens, regular check-ups.","Surgery, radiation therapy, chemotherapy, targeted therapy.","High-calorie, high-protein diet to maintain weight, avoid processed and fatty foods, include antioxidant-rich fruits, vegetables, and lean proteins."
Lupus (systemic lupus erythematosus),"An autoimmune disease that can affect the skin, joints, kidneys, brain, and other organs.","Fatigue, joint pain, skin rashes, fever, kidney issues, butterfly-shaped facial rash.","Sun protection, avoid infections, regular medical follow-ups.","Anti-inflammatory drugs, immunosuppressants, corticosteroids, antimalarials (e.g., hydroxychloroquine).","Anti-inflammatory diet, include fruits, vegetables, whole grains, omega-3-rich foods, avoid processed foods, sugar, and excessive salt."
Lymphoma (non-Hodgkin),"Cancer that begins in lymphocytes, part of the immune system.","Swollen lymph nodes, fever, night sweats, weight loss.","Avoid exposure to known risk factors, early detection.","Chemotherapy, radiation therapy, immunotherapy, stem cell transplant.","High-calorie, high-protein diet to maintain weight during treatment, avoid raw or undercooked foods, include soft and easy-to-eat foods, stay hydrated."
Macular degeneration,"An eye disorder that affects central vision, commonly age-related.","Blurry central vision, difficulty recognizing faces, trouble reading.","Regular eye exams, wear sunglasses, maintain a healthy diet.","Anti-VEGF injections, laser therapy, nutritional supplements.","Include leafy greens (e.g., spinach, kale), omega-3-rich foods (e.g., fish), and foods rich in vitamins A, C, and E, avoid processed and sugary foods."
Marfan syndrome,"A genetic disorder that affects connective tissue, causing skeletal, eye, and cardiovascular problems.","Tall, thin body, long limbs, scoliosis, heart murmurs, eye problems.","Regular monitoring for heart and eye problems, avoid contact sports.","Medications to lower blood pressure, surgery for severe aortic issues, vision correction.","Balanced diet, avoid excessive salt and processed foods, include calcium-rich foods for bone health, fruits, vegetables, and lean proteins."
Melanoma,"The most serious type of skin cancer, often caused by UV exposure.","Change in existing mole or new skin growth, asymmetrical moles, irregular borders.","Use sunscreen, avoid tanning, regular skin checks.","Surgery, immunotherapy, targeted therapy, chemotherapy.","Antioxidant-rich diet, include fruits, vegetables, whole grains, lean proteins, and healthy fats (e.g., olive oil), avoid processed foods and sugar."
Meniere’s disease,"A disorder of the inner ear causing vertigo, hearing loss, and tinnitus.","Vertigo, hearing loss, ringing in ears, feeling of fullness in the ear.","Limit salt intake, avoid caffeine and alcohol, stress management.","Diuretics, anti-vertigo medications, hearing aids, surgery in severe cases.","Low-sodium diet to reduce fluid retention, avoid caffeine and alcohol, include fresh fruits, vegetables, and lean proteins, stay hydrated with water."
Meningitis,"Inflammation of the membranes surrounding the brain and spinal cord, caused by infection.","Stiff neck, fever, headache, sensitivity to light, nausea, confusion.","Vaccination, good hygiene, avoid close contact with infected individuals.","Antibiotics (for bacterial meningitis), antivirals (for viral), supportive care.","Balanced diet, include immune-boosting foods like fruits, vegetables, lean proteins, and whole grains, avoid alcohol, sugary, and processed foods."
Mesothelioma,"A rare cancer of the tissue lining the lungs, heart, or abdomen, typically caused by asbestos exposure.","Shortness of breath, chest pain, abdominal pain, weight loss.","Avoid asbestos exposure, regular health monitoring for at-risk individuals.","Surgery, chemotherapy, radiation therapy.","High-calorie, high-protein diet to maintain weight, avoid processed and fatty foods, include soft, nutrient-dense foods, and stay hydrated."
Mitral valve prolapse,"A condition in which the mitral valve doesn’t close properly, causing blood leakage in the heart.","Heart palpitations, chest pain, shortness of breath, fatigue.","Regular heart check-ups, maintain healthy lifestyle, avoid excessive caffeine.","Beta-blockers, medications to prevent blood clots, surgery in severe cases.","Heart-healthy diet, include omega-3-rich foods (e.g., fish), fiber-rich foods, avoid excessive salt, processed foods, and caffeine."
Motor neurone disease,A group of conditions where motor neurons in the brain and spinal cord progressively lose function.,"Muscle weakness, difficulty speaking, swallowing issues, breathing problems.","Regular monitoring, physical therapy, occupational therapy.","Riluzole, supportive care, ventilatory support.","High-calorie, high-protein diet to maintain weight, include soft foods if swallowing is difficult, avoid processed and fatty foods, stay hydrated."
Multiple myeloma,Cancer of plasma cells in the bone marrow.,"Bone pain, fatigue, frequent infections, kidney problems, anemia.","Avoid infections, healthy diet, stay hydrated.","Chemotherapy, targeted therapy, bone marrow transplant.","High-protein, high-calorie diet to maintain strength during treatment, avoid raw or undercooked foods, include easy-to-digest, nutrient-dense foods."
Multiple sclerosis,An autoimmune disease where the immune system attacks the central nervous system.,"Fatigue, difficulty walking, vision problems, muscle spasms, cognitive impairment.","Avoid heat, stress management, regular medical follow-ups.","Disease-modifying therapies (e.g., interferon-beta, glatiramer acetate), corticosteroids for relapses, physical therapy.","Anti-inflammatory diet, include omega-3-rich foods (e.g., fish, flaxseeds), fruits, vegetables, whole grains, avoid processed foods, sugar, and saturated fats."
Myasthenia gravis,A chronic autoimmune disorder that causes muscle weakness.,"Muscle weakness, drooping eyelids, difficulty swallowing, shortness of breath.","Avoid infections, regular medical follow-ups, manage stress.","Acetylcholinesterase inhibitors, immunosuppressants, corticosteroids.","Balanced diet, include soft foods if swallowing is difficult, avoid processed foods, include omega-3s, lean proteins, and fruits and vegetables."
Myelodysplastic syndromes,A group of disorders caused by poorly formed or dysfunctional blood cells.,"Fatigue, frequent infections, easy bruising, anemia.","Avoid infections, healthy diet, regular check-ups.","Blood transfusions, medications to stimulate blood cell production, bone marrow transplant.","High-protein, high-calorie diet to maintain weight, avoid raw or undercooked foods, include nutrient-rich, easy-to-eat foods, stay hydrated."
Myocardial infarction,"A blockage of blood flow to the heart muscle, causing tissue damage.","Chest pain, shortness of breath, nausea, sweating, pain in left arm/jaw.","Avoid smoking, maintain healthy diet and exercise, regular cholesterol checks.","Blood thinners, beta-blockers, statins, emergency angioplasty, stent placement.","Heart-healthy diet, include omega-3-rich foods (e.g., fish, flaxseeds), fiber-rich foods (e.g., oats, whole grains), avoid high-sodium, processed, and fatty foods."
Myocarditis,"Inflammation of the heart muscle, usually due to infection or autoimmune response.","Chest pain, fatigue, shortness of breath, heart palpitations, swelling of legs.","Prevent infections, regular check-ups, avoid alcohol.","Anti-inflammatory drugs, corticosteroids, heart medications, bed rest.","Low-sodium, heart-healthy diet, include fruits, vegetables, omega-3-rich foods, avoid processed foods, high-sodium, and fatty foods."
Nasopharyngeal carcinoma,"Cancer that occurs in the nasopharynx, located behind the nose and above the back of the throat.","Nosebleeds, nasal congestion, headaches, hearing loss, swollen lymph nodes.","Avoid smoking, maintain good oral hygiene, avoid Epstein-Barr virus infection.","Radiation therapy, chemotherapy, surgery in advanced cases.","High-calorie, high-protein diet to maintain weight during treatment, avoid spicy, acidic, or hard-to-eat foods, include soft and nutrient-dense foods."
Nephrotic syndrome,Kidney disorder that causes the body to excrete too much protein in urine.,"Swelling (edema), weight gain, fatigue, foamy urine.","Control high blood pressure, regular kidney function tests, avoid salt-rich diets.","Diuretics, ACE inhibitors, corticosteroids, immunosuppressants.","Low-sodium, low-protein diet to reduce kidney strain, avoid processed foods, include fruits, vegetables, and whole grains, stay hydrated."
Neurofibromatosis,A genetic disorder that causes tumors to form on nerve tissue.,"Skin lesions, hearing loss, learning disabilities, balance issues.","Genetic counseling, regular health check-ups, avoid radiation exposure.","Surgery to remove tumors, pain management, physical therapy.","Balanced diet rich in vitamins and minerals, include lean proteins, fruits, vegetables, whole grains, and healthy fats, avoid processed foods."
Nonalcoholic fatty liver disease,"A condition where excess fat builds up in the liver without alcohol use, potentially leading to liver damage.","Fatigue, weight loss, upper abdominal discomfort.","Maintain a healthy diet, avoid sugary and fatty foods, regular exercise.","Weight loss management, diabetes medications (e.g., metformin), vitamin E, and pioglitazone.","Low-fat, balanced diet, include omega-3-rich foods, fiber-rich foods, and avoid sugary, processed, and high-sodium foods, stay hydrated."
Obesity,"A condition characterized by excess body fat, increasing the risk of various diseases, including heart disease, diabetes, and hypertension.","Increased body weight, breathlessness, joint pain, snoring, fatigue.","Healthy diet, regular exercise, avoid sugary and processed foods.","Weight loss medications, bariatric surgery, lifestyle changes.","Balanced, low-calorie diet, focus on whole grains, fruits, vegetables, lean proteins, avoid processed foods, sugary drinks, and high-fat foods, increase fiber intake."
Obsessive-compulsive disorder (OCD),"A mental health condition characterized by recurring, unwanted thoughts (obsessions) and repetitive behaviors (compulsions).","Repetitive thoughts, compulsive behaviors (e.g., hand washing), anxiety.","Stress management, cognitive behavioral therapy (CBT).","SSRIs (e.g., fluoxetine, sertraline), cognitive-behavioral therapy (CBT), antipsychotics in some cases.","Balanced diet, include omega-3 fatty acids (e.g., fish, flaxseeds), lean proteins, whole grains, avoid caffeine, sugar, and processed foods."
Ovarian cancer,"Cancer that begins in the ovaries, often detected at a later stage.","Abdominal bloating, pelvic pain, changes in bowel habits, unexplained weight loss.","Regular screenings, genetic testing for BRCA mutations, avoid hormone therapy.","Surgery, chemotherapy, radiation therapy, targeted therapy.","High-calorie, high-protein diet during treatment, avoid raw or undercooked foods, include nutrient-dense, easily digestible foods, and stay hydrated."
Paget's disease of bone,"A chronic disorder that disrupts the normal cycle of bone renewal, leading to weakened, enlarged, and misshapen bones.","Bone pain, deformities, fractures, hearing loss.","Maintain a healthy diet, regular exercise, avoid excessive strain on bones.","Bisphosphonates, calcitonin, pain relievers, surgery in severe cases.","High-calcium, high-vitamin D diet for bone health, include dairy, leafy greens, and calcium-fortified foods, avoid excessive salt and processed foods."
Pancreatic cancer,"A type of cancer that begins in the pancreas, often diagnosed at an advanced stage.","Abdominal pain, jaundice, weight loss, loss of appetite.","Avoid smoking, maintain a healthy weight, limit alcohol intake, regular screening for high-risk individuals.","Surgery (e.g., Whipple procedure), chemotherapy, radiation therapy, targeted therapy.","High-calorie, high-protein diet, avoid fatty, spicy, or fried foods, include nutrient-rich, easily digestible foods like soups and smoothies, stay hydrated."
Parkinson’s disease,A neurodegenerative disorder affecting movement due to the death of dopamine-producing neurons.,"Tremors, muscle stiffness, slowed movement, balance issues, speech changes.","Regular exercise, avoid exposure to toxins, physical therapy.","Levodopa, dopamine agonists, deep brain stimulation, physical therapy.","High-fiber diet to prevent constipation, include antioxidant-rich fruits and vegetables, omega-3-rich foods, avoid high-fat, sugary, and processed foods."
Pelvic inflammatory disease (PID),"An infection of the female reproductive organs, often caused by sexually transmitted infections (STIs).","Pelvic pain, fever, abnormal discharge, pain during intercourse.","Practice safe sex, regular STI screenings, early treatment of infections.","Antibiotics, pain relievers, surgery in severe cases.","Anti-inflammatory diet, include lean proteins, fruits, vegetables, and whole grains, avoid processed foods and sugary drinks, stay hydrated."
Pernicious anemia,"A condition where the body can’t absorb enough vitamin B12, leading to a decrease in red blood cells.","Fatigue, weakness, pale skin, shortness of breath, tingling in hands and feet.","Regular B12 intake, monitor B12 levels, early diagnosis and treatment.",Vitamin B12 injections or oral supplements.,"Vitamin B12-rich foods like fish, eggs, dairy, and fortified cereals, avoid alcohol, focus on nutrient-dense, balanced meals."
Peritoneal cancer,A rare cancer that develops in the thin layer of tissue lining the abdomen (peritoneum).,"Abdominal bloating, pain, digestive issues, weight loss.","Regular check-ups, avoid risk factors, genetic testing for high-risk individuals.","Surgery, chemotherapy, radiation therapy.","High-calorie, high-protein diet to maintain weight during treatment, avoid spicy, acidic, or hard-to-eat foods, include soft, nutrient-dense foods."
Poliomyelitis,"A viral infection that can cause nerve injury leading to paralysis, often prevented through vaccination.","Fever, fatigue, headache, muscle pain, paralysis in severe cases.","Polio vaccination, good hygiene practices.","No specific cure, supportive care, physical therapy, ventilatory support in severe cases.","Balanced diet, include lean proteins, fruits, vegetables, whole grains, avoid processed foods and sugary drinks, stay hydrated."
Polycystic kidney disease,"A genetic disorder characterized by the growth of numerous cysts in the kidneys, leading to kidney damage.","High blood pressure, back/side pain, headaches, blood in urine, kidney failure.","Regular blood pressure monitoring, avoid nephrotoxic medications, healthy lifestyle.","Pain management, blood pressure medications (ACE inhibitors), dialysis or kidney transplant in severe cases.","Low-sodium, low-protein diet to reduce kidney strain, include fruits, vegetables, and whole grains, avoid processed foods, stay hydrated."
Post-traumatic stress disorder (PTSD),A mental health condition triggered by experiencing or witnessing a traumatic event.,"Flashbacks, nightmares, severe anxiety, emotional numbness, irritability.","Therapy, stress management, avoid alcohol and drugs, support groups.","Antidepressants (SSRIs), cognitive behavioral therapy (CBT), exposure therapy, anti-anxiety medications.","Balanced diet, include omega-3-rich foods (e.g., fish, flaxseeds), whole grains, lean proteins, avoid caffeine, sugar, and processed foods."
Prostate cancer,"Cancer that occurs in the prostate gland, often detected through screening in its early stages.","Difficulty urinating, blood in urine, pelvic pain, erectile dysfunction.","Regular prostate screenings, healthy diet, avoid smoking.","Surgery, radiation therapy, hormone therapy, chemotherapy, active surveillance.","Heart-healthy diet, include antioxidant-rich foods (e.g., tomatoes, leafy greens), omega-3-rich foods, avoid red meat, processed foods, and sugar."
Psoriatic arthritis,A chronic inflammatory arthritis associated with the skin condition psoriasis.,"Joint pain, stiffness, swelling, skin rashes, fatigue.","Avoid stress, healthy lifestyle, regular check-ups for those with psoriasis.","Nonsteroidal anti-inflammatory drugs (NSAIDs), DMARDs, biologics, corticosteroids.","Anti-inflammatory diet, include omega-3-rich foods, fruits, vegetables, whole grains, lean proteins, avoid processed foods, sugar, and red meat."
Pulmonary embolism,"A blockage in one of the pulmonary arteries in the lungs, usually caused by blood clots traveling from the legs.","Sudden shortness of breath, chest pain, rapid heart rate, coughing up blood.","Avoid prolonged immobility, use compression stockings, stay active.","Anticoagulants (blood thinners), clot-busting medications, surgery in severe cases.","Heart-healthy diet, include fiber-rich foods like oats, whole grains, fruits, and vegetables, avoid high-fat and high-sodium foods, stay hydrated."
Pulmonary fibrosis,"A lung disease that occurs when lung tissue becomes damaged and scarred, making it hard to breathe.","Shortness of breath, dry cough, fatigue, unexplained weight loss, clubbing of fingers.","Avoid smoking, avoid exposure to lung irritants, regular check-ups.","Antifibrotic drugs (e.g., pirfenidone, nintedanib), oxygen therapy, lung transplant in severe cases.","Balanced diet, include lean proteins, whole grains, and antioxidant-rich foods, avoid processed foods and high-sodium foods, stay hydrated."
Pulmonary hypertension,"High blood pressure in the arteries of the lungs, leading to heart strain.","Shortness of breath, chest pain, fatigue, swelling in ankles/legs, rapid heartbeat.","Avoid smoking, avoid high altitudes, regular check-ups, exercise under medical supervision.","Blood vessel dilators, diuretics, anticoagulants, oxygen therapy, surgery in severe cases.","Heart-healthy, low-sodium diet, include omega-3-rich foods (e.g., fish), lean proteins, fruits, vegetables, avoid processed foods, sugar, and high-sodium foods."
Rabies,"A viral disease affecting the central nervous system, often transmitted through the bite of an infected animal.","Fever, headache, muscle weakness, hallucinations, paralysis, hydrophobia.","Vaccinate pets, avoid contact with wild animals, immediate wound cleaning after bite, seek medical help immediately.","Rabies vaccine, rabies immunoglobulin (post-exposure prophylaxis).","No specific diet, focus on hydration and balanced nutrition, include easy-to-digest foods, avoid spicy, fried, or hard-to-digest foods during recovery."
Raynaud's disease,A condition in which smaller arteries that supply blood to the skin narrow in response to cold or stress.,"Cold fingers/toes, color changes in skin (white, blue, then red), numbness.","Keep warm, avoid stress, avoid smoking, regular check-ups.","Calcium channel blockers, vasodilators, alpha-blockers.","Anti-inflammatory diet, include omega-3-rich foods, fruits, vegetables, whole grains, avoid caffeine, alcohol, and processed foods, stay hydrated."
Renal cell carcinoma,The most common type of kidney cancer that begins in the lining of the small tubes in the kidney.,"Blood in urine, lower back pain, weight loss, fatigue, lump on the side.","Regular check-ups, avoid smoking, maintain a healthy weight.","Surgery, targeted therapy, immunotherapy, chemotherapy.","Low-sodium, low-protein diet to reduce kidney strain, include fruits, vegetables, and whole grains, avoid high-fat, processed, and high-sodium foods."
Restless legs syndrome,"A condition that causes an uncontrollable urge to move the legs, often due to an uncomfortable sensation.","Uncomfortable leg sensations, relief with movement, worsening at night, difficulty sleeping.","Maintain a regular sleep schedule, avoid caffeine and alcohol, moderate exercise.","Dopamine agonists, anticonvulsants, opioids, iron supplements.","Iron-rich foods (e.g., spinach, lentils), folate-rich foods (e.g., beans, asparagus), avoid caffeine, alcohol, and processed foods, stay hydrated."
Retinitis pigmentosa,"A group of rare genetic disorders that involve a breakdown and loss of cells in the retina, affecting vision.","Night blindness, loss of peripheral vision, difficulty seeing in dim light.","Regular eye exams, wear sunglasses to protect from UV light, maintain a healthy diet.","No cure, but vitamin A supplements, retinal implants, and mobility training can help manage symptoms.","Include antioxidant-rich foods (e.g., leafy greens, carrots, berries), omega-3 fatty acids (e.g., fish), avoid processed foods and excessive sugar."
Rheumatic heart disease,"A condition in which the heart valves are permanently damaged by rheumatic fever, caused by an untreated strep throat infection.","Shortness of breath, chest pain, fatigue, irregular heartbeats, swelling in legs.","Prevent strep infections, early treatment of strep throat, regular heart check-ups.","Antibiotics, anti-inflammatory drugs, surgery to repair or replace damaged heart valves.","Heart-healthy diet, include omega-3-rich foods, fiber-rich foods (e.g., oats, whole grains), avoid high-sodium, high-fat, and processed foods."
Rheumatoid arthritis,"A chronic inflammatory disorder affecting joints, causing painful swelling and joint deformity over time.","Joint pain, stiffness, swelling, fatigue, fever.","Regular exercise, healthy diet, stress management, early diagnosis and treatment.","DMARDs, biologics, NSAIDs, corticosteroids, physical therapy.","Anti-inflammatory diet, include omega-3-rich foods, fruits, vegetables, lean proteins, avoid red meat, processed foods, and sugar."
Rickets,"A condition in children caused by vitamin D deficiency, leading to weak or soft bones.","Delayed growth, bowing of the legs, weakness, bone pain.","Ensure sufficient vitamin D intake (sunlight, diet), maintain a balanced diet.","Vitamin D and calcium supplements, exposure to sunlight, diet rich in calcium and phosphate.","High-calcium, high-vitamin D diet, include dairy, leafy greens, and calcium-fortified foods, avoid excessive salt and processed foods."
Rocky Mountain spotted fever,"A bacterial infection spread by tick bites, causing damage to blood vessels.","Fever, headache, rash, nausea, muscle pain, confusion.","Use tick repellents, wear protective clothing, avoid tick-infested areas.","Antibiotics (doxycycline), supportive care for symptoms.","No specific diet, focus on hydration and nutrient-dense foods, include easy-to-digest meals, avoid spicy, fried, or processed foods."
Sarcoidosis,"An inflammatory disease that affects multiple organs, particularly the lungs and lymph glands, causing granulomas (inflammatory cells).","Fatigue, cough, shortness of breath, skin rashes, swollen lymph nodes.","Regular check-ups, avoid exposure to dust and chemicals, stay hydrated.","Corticosteroids, immunosuppressants, antimalarial drugs (e.g., hydroxychloroquine).","Anti-inflammatory diet, include omega-3-rich foods, fruits, vegetables, whole grains, avoid processed foods, sugar, and excessive salt."
Scleroderma,A group of autoimmune diseases resulting in the hardening and tightening of the skin and connective tissues.,"Tight skin, joint pain, digestive issues, Raynaud’s phenomenon, heartburn.","Avoid cold temperatures, manage stress, maintain a healthy diet.","Immunosuppressants, corticosteroids, vasodilators, proton pump inhibitors (PPIs).","Soft, nutrient-dense foods if swallowing is difficult, include lean proteins, fruits, vegetables, avoid spicy, hard, or high-fat foods, stay hydrated."
Scoliosis,A condition where the spine curves abnormally sideways.,"Uneven shoulders, uneven waist, one hip higher than the other, back pain.","Regular screenings, physical therapy, avoid heavy lifting.","Bracing (for children), pain relievers, physical therapy, surgery for severe cases.","Balanced diet, include calcium-rich foods (e.g., dairy, leafy greens), lean proteins, fruits, vegetables, avoid processed foods and sugar."
Sepsis,A life-threatening complication of infection that occurs when chemicals released in the bloodstream to fight infection cause widespread inflammation.,"Fever, rapid heartbeat, difficulty breathing, confusion, low blood pressure.","Early treatment of infections, maintain good hygiene, stay vaccinated.","IV antibiotics, vasopressors, supportive care (oxygen, fluids), surgery to remove infection source.","High-calorie, high-protein diet to maintain strength, include nutrient-dense foods, avoid raw or undercooked foods, stay hydrated with electrolyte solutions."
Shingles (Herpes zoster),"A viral infection causing a painful rash, resulting from the reactivation of the varicella-zoster virus (chickenpox virus).","Painful rash, itching, blisters, sensitivity to touch, fever.","Vaccination, maintain a healthy immune system, avoid stress.","Antiviral drugs (acyclovir, valacyclovir), pain relievers, corticosteroids in severe cases.","Lysine-rich foods (e.g., dairy, fish), avoid arginine-rich foods (e.g., chocolate, nuts), include immune-boosting foods like fruits, vegetables, and lean proteins."
Sickle cell anemia,"A genetic blood disorder where red blood cells become sickle-shaped, leading to blockages in blood flow and oxygen transport.","Fatigue, pain (sickle cell crisis), swelling in hands/feet, frequent infections, delayed growth.","Avoid dehydration, stay warm, avoid stress and infections.","Pain relievers, hydroxyurea, blood transfusions, bone marrow transplant in severe cases.","High-calorie, high-protein diet, include folate-rich foods (e.g., beans, leafy greens), avoid processed foods and sugary drinks, stay hydrated."
Sjogren's syndrome,"An autoimmune disease that affects moisture-producing glands, leading to dry eyes and mouth.","Dry eyes, dry mouth, fatigue, joint pain, swelling.","Use of humidifiers, avoid smoking, regular eye and dental check-ups.","Artificial tears, saliva substitutes, immunosuppressants, anti-inflammatory drugs.","Moist, soft foods, include omega-3-rich foods, fruits, vegetables, avoid caffeine, alcohol, spicy, and acidic foods, stay hydrated."
Small intestine cancer,"A rare cancer that occurs in the small intestine, affecting digestion and absorption of nutrients.","Abdominal pain, weight loss, nausea, blood in stool, anemia.","Regular screenings for high-risk individuals, maintain a healthy diet, avoid smoking.","Surgery, chemotherapy, radiation therapy, targeted therapy.","High-calorie, high-protein diet to maintain weight during treatment, avoid spicy, acidic, or hard-to-eat foods, include soft and nutrient-dense foods."
Spina bifida,"A birth defect where the spine and spinal cord don’t form properly, causing disabilities that range from mild to severe.","Weakness or paralysis of legs, bowel or bladder problems, hydrocephalus (in some cases).","Folic acid supplements during pregnancy, regular prenatal care.","Surgery (to close the opening in the spine), physical therapy, supportive care.","High-folate diet (e.g., beans, leafy greens), balanced, nutrient-dense meals, include lean proteins, fruits, vegetables, and whole grains."
Spinal muscular atrophy,"A genetic disorder that affects the control of muscle movement, leading to muscle weakness and atrophy.	","Muscle weakness, difficulty swallowing or breathing, loss of motor function.","Genetic counseling, early diagnosis, physical therapy.","Nusinersen, onasemnogene abeparvovec, physical therapy, supportive care.","High-calorie, high-protein diet to maintain weight, include soft foods if swallowing is difficult, avoid processed and fatty foods."
Stomach cancer,"Cancer that occurs in the stomach lining, often associated with H. pylori infection, smoking, or genetic factors.","Bloating, indigestion, nausea, vomiting, weight loss, abdominal pain.","Avoid smoking, healthy diet, early detection of H. pylori infections, avoid excessive alcohol.","Surgery, chemotherapy, radiation therapy, targeted therapy.","Soft, easy-to-digest foods, high-protein, high-calorie diet, avoid spicy, acidic, or hard-to-digest foods, include nutrient-dense soups and smoothies."
Stroke,"A medical emergency that occurs when blood flow to part of the brain is interrupted, leading to brain damage.","Sudden numbness/weakness (especially on one side), confusion, difficulty speaking, vision problems, severe headache.","Control high blood pressure, maintain a healthy lifestyle, avoid smoking, manage cholesterol.","Thrombolytics (e.g., tPA for ischemic stroke), antiplatelet agents, surgery, rehabilitation therapy.","Heart-healthy diet, include omega-3-rich foods, fiber-rich foods (e.g., oats, whole grains), avoid high-sodium, high-fat, and processed foods."
Subarachnoid hemorrhage,"Bleeding in the space between the brain and the tissues covering the brain, often caused by a ruptured aneurysm.","Sudden, severe headache, neck pain, nausea, sensitivity to light, loss of consciousness.","Manage high blood pressure, avoid smoking, avoid heavy alcohol use, regular health check-ups.","Surgery (e.g., clipping or coiling aneurysms), pain relievers, supportive care in ICU.","High-protein, high-calorie diet during recovery, include lean proteins, fruits, vegetables, whole grains, avoid high-sodium, high-fat, and processed foods."
Sudden infant death syndrome (SIDS),"The sudden, unexplained death of an infant under one year of age, often during sleep.","No symptoms, but often occurs during sleep.","Place baby on back to sleep, avoid soft bedding, keep the crib clear, breastfeeding, avoid smoking around the baby.","No treatment, only preventive measures are emphasized.",Not applicable (no dietary recommendation as it affects infants and is unrelated to diet).
Systemic sclerosis,"A type of autoimmune disease affecting the skin and internal organs, leading to hardening and thickening of tissues.","Tightening of the skin, joint pain, Raynaud’s phenomenon, digestive issues, difficulty breathing.","Avoid cold temperatures, regular exercise, manage stress, avoid smoking.","Immunosuppressants, corticosteroids, vasodilators, physical therapy.","Anti-inflammatory diet, include omega-3-rich foods, fruits, vegetables, avoid high-fat, spicy, and processed foods, stay hydrated with soft, easily digestible meals."
Tay-Sachs disease,"A genetic disorder causing the destruction of nerve cells in the brain and spinal cord, leading to severe neurological decline.","Muscle weakness, loss of motor skills, seizures, hearing loss, vision loss.","Genetic testing, carrier screening, supportive care.","No cure, but supportive care includes physical therapy, feeding tubes, and anti-seizure medications.","No specific dietary treatment, but focus on a balanced, nutrient-dense diet to maintain health, and consider nutritional support in later stages of the disease."
Temporal arteritis,"Inflammation of the temporal arteries, often leading to headaches and vision problems.","Severe headaches, scalp tenderness, jaw pain, vision loss, fever.","Early diagnosis and treatment, regular eye check-ups, monitor blood pressure.","Corticosteroids (prednisone), immunosuppressants.","Anti-inflammatory diet, include omega-3-rich foods, fruits, vegetables, whole grains, avoid processed foods, sugar, and high-fat foods."
Tetanus,"A bacterial infection that affects the nervous system, causing muscle stiffness and spasms, often due to a wound.","Muscle stiffness, jaw cramping, muscle spasms, fever, difficulty swallowing.","Vaccination, proper wound care, avoid injuries.","Tetanus vaccine, tetanus immunoglobulin, muscle relaxants, wound cleaning.","Balanced diet, include lean proteins, fruits, vegetables, and whole grains, avoid spicy, hard-to-chew foods, ensure proper hydration during recovery."
Thalassemia,"	A genetic blood disorder that causes the body to produce an abnormal form of hemoglobin, leading to anemia.","Fatigue, weakness, pale skin, slow growth, dark urine.","Genetic counseling, regular check-ups, avoid iron-rich foods (in some types).","Blood transfusions, iron chelation therapy, bone marrow transplant in severe cases.","Iron-chelation diet (limit iron-rich foods if iron levels are high), include calcium-rich foods like dairy and leafy greens, and vitamin D for bone health."
Thrombocytopenia,"	A condition characterized by abnormally low levels of platelets in the blood, leading to easy bruising and bleeding.","Easy bruising, prolonged bleeding, blood in urine/stools, petechiae (small red spots on skin).","Avoid injuries, regular blood tests, avoid certain medications (e.g., NSAIDs).","Corticosteroids, immunoglobulin therapy, platelet transfusions, splenectomy in severe cases.","High-folate diet, include green leafy vegetables, lean proteins, and whole grains, avoid alcohol, and excessive sugar."
Thrombophlebitis,"Inflammation of a vein due to a blood clot, usually in the legs.","Swelling, redness, warmth over the affected vein, pain, tenderness.","Avoid prolonged sitting, regular exercise, stay hydrated.","Blood thinners (anticoagulants), compression stockings, pain relievers, surgery in severe cases.","Heart-healthy, anti-inflammatory diet, include omega-3-rich foods, fruits, vegetables, avoid processed foods and high-sodium foods, stay hydrated."
Thyroid cancer,"Cancer that develops in the thyroid gland, located at the base of the neck.","Lump in the neck, voice changes, difficulty swallowing, neck pain.","Avoid radiation exposure, regular screenings for high-risk individuals.","Surgery (thyroidectomy), radioactive iodine therapy, hormone therapy, chemotherapy in advanced cases.","Balanced diet, include antioxidant-rich fruits, vegetables, and lean proteins, avoid processed foods, sugar, and iodine-rich foods if on a low-iodine diet."
